OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
ORD000033,10/19/2025,CUST1126,West,Laptop,Electronics,4,53941,215764,Cancelled,Agent_10
ORD000034,6/11/2025,CUST1133,East,Cricket Bat,Sports,7,2578,18046,Completed,Agent_4
ORD000035,6/3/2025,CUST1234,East,T-Shirt,Clothing,5,783,3915,Completed,Agent_6
ORD000036,2/21/2025,CUST1037,West,Laptop,Electronics,8,56332,450656,Completed,Agent_9
ORD000037,7/9/2025,CUST1145,North,T-Shirt,Clothing,6,860,5160,Completed,Agent_3
ORD000038,12/1/2025,CUST1270,South,Yoga Mat,Sports,5,1533,7665,Returned,Agent_1
ORD000039,3/1/2025,CUST1054,East,Football,Sports,2,1305,2610,Completed,Agent_12
ORD000040,12/18/2025,CUST1324,East,Jeans,Clothing,10,1695,16950,Completed,Agent_14
ORD000041,5/22/2025,CUST1022,North,Cooking Oil,Grocery,1,1653,1653,Completed,Agent_1
ORD000042,12/28/2025,CUST1218,North,Bookshelf,Furniture,5,8390,41950,Completed,Agent_9
ORD000043,10/10/2025,CUST1075,North,Smartphone,Electronics,9,22680,204120,Completed,Agent_7
ORD000044,5/8/2025,CUST1341,North,Jeans,Clothing,1,1943,1943,Completed,Agent_2
ORD000045,5/2/2025,CUST1083,South,Football,Sports,10,1259,12590,Returned,Agent_13
ORD000046,7/30/2025,CUST1342,West,Rice Bag,Grocery,3,1256,3768,Completed,Agent_14
ORD000047,1/20/2025,CUST1240,East,Desk,Furniture,3,12689,38067,Completed,Agent_4
ORD000048,4/25/2025,CUST1012,North,Cooking Oil,Grocery,5,1915,9575,Completed,Agent_11
ORD000049,11/25/2025,CUST1260,North,Jeans,Clothing,2,1968,3936,Completed,Agent_7
ORD000050,4/2/2025,CUST1297,East,Football,Sports,1,1107,1107,Returned,Agent_5
ORD000051,11/7/2025,CUST1261,North,Football,Sports,6,1254,7524,Completed,Agent_2
ORD000052,9/24/2025,CUST1275,South,Cricket Bat,Sports,5,2272,11360,Completed,Agent_11
ORD000053,6/19/2025,CUST1319,East,Desk,Furniture,7,10967,76769,Completed,Agent_6
ORD000054,7/26/2025,CUST1151,East,Headphones,Electronics,9,2885,25965,Completed,Agent_9
ORD000055,11/12/2025,CUST1291,North,Tea Pack,Grocery,7,517,3619,Cancelled,Agent_5
ORD000056,11/7/2025,CUST1335,South,Headphones,Electronics,5,2826,14130,Cancelled,Agent_6
ORD000057,3/28/2025,CUST1337,South,Tea Pack,Grocery,4,501,2004,Cancelled,Agent_2
ORD000058,12/11/2025,CUST1158,North,Football,Sports,2,1276,2552,Completed,Agent_4
ORD000059,2/7/2025,CUST1233,West,Office Chair,Furniture,1,6642,6642,Completed,Agent_7
ORD000060,12/2/2025,CUST1002,West,Cricket Bat,Sports,7,2497,17479,Completed,Agent_15
ORD000061,9/23/2025,CUST1237,West,Smartwatch,Electronics,4,7481,29924,Returned,Agent_1
ORD000062,10/14/2025,CUST1304,East,Smartwatch,Electronics,3,8482,25446,Completed,Agent_6
ORD000063,8/17/2025,CUST1081,West,Tea Pack,Grocery,9,492,4428,Cancelled,Agent_12
ORD000064,9/24/2025,CUST1248,West,Cooking Oil,Grocery,4,1922,7688,Completed,Agent_11
ORD000065,10/4/2025,CUST1041,North,Rice Bag,Grocery,5,1136,5680,Completed,Agent_3
ORD000066,7/28/2025,CUST1169,North,Tea Pack,Grocery,3,520,1560,Completed,Agent_9
ORD000067,12/23/2025,CUST1010,South,Smartphone,Electronics,7,24447,171129,Cancelled,Agent_14
ORD000068,7/19/2025,CUST1214,West,Football,Sports,8,1081,8648,Completed,Agent_9
ORD000069,9/6/2025,CUST1014,East,Yoga Mat,Sports,4,1496,5984,Completed,Agent_7
ORD000070,11/15/2025,CUST1273,North,Tea Pack,Grocery,3,534,1602,Cancelled,Agent_1
ORD000071,8/25/2025,CUST1093,West,Yoga Mat,Sports,1,1375,1375,Completed,Agent_1
ORD000072,7/14/2025,CUST1142,North,T-Shirt,Clothing,8,772,6176,Completed,Agent_13
ORD000073,1/27/2025,CUST1179,West,Cooking Oil,Grocery,2,1789,3578,Completed,Agent_4
ORD000074,3/20/2025,CUST1122,East,Laptop,Electronics,4,51692,206768,Completed,Agent_3
ORD000075,3/27/2025,CUST1310,South,Smartphone,Electronics,8,25997,207976,Cancelled,Agent_10
ORD000076,6/9/2025,CUST1294,West,Smartphone,Electronics,5,23040,115200,Completed,Agent_11
ORD000077,11/18/2025,CUST1124,West,Cooking Oil,Grocery,4,1647,6588,Completed,Agent_2
ORD000078,10/17/2025,CUST1021,East,Jacket,Clothing,10,3713,37130,Cancelled,Agent_6
ORD000079,8/4/2025,CUST1250,South,T-Shirt,Clothing,9,823,7407,Completed,Agent_2
ORD000080,9/25/2025,CUST1333,South,Jacket,Clothing,8,3645,29160,Completed,Agent_5
ORD000081,5/18/2025,CUST1165,East,Football,Sports,8,1184,9472,Completed,Agent_14
ORD000082,11/9/2025,CUST1342,North,Headphones,Electronics,8,2846,22768,Completed,Agent_7
ORD000083,5/13/2025,CUST1174,North,Cooking Oil,Grocery,3,1795,5385,Completed,Agent_5
ORD000084,5/4/2025,CUST1208,West,Jacket,Clothing,1,3511,3511,Completed,Agent_8
ORD000085,1/9/2025,CUST1047,East,Bookshelf,Furniture,8,9262,74096,Completed,Agent_5
ORD000086,6/26/2025,CUST1217,North,Desk,Furniture,10,11685,116850,Completed,Agent_12
ORD000087,3/3/2025,CUST1098,East,Jacket,Clothing,8,3339,26712,Completed,Agent_6
ORD000088,5/22/2025,CUST1301,North,Yoga Mat,Sports,3,1407,4221,Completed,Agent_13
ORD000089,6/4/2025,CUST1007,South,T-Shirt,Clothing,4,767,3068,Completed,Agent_12
ORD000090,3/6/2025,CUST1326,South,T-Shirt,Clothing,1,808,808,Completed,Agent_14
ORD000091,6/24/2025,CUST1094,West,Laptop,Electronics,10,52627,526270,Completed,Agent_1
ORD000092,11/19/2025,CUST1027,North,Rice Bag,Grocery,2,1176,2352,Completed,Agent_3
ORD000093,8/2/2025,CUST1310,North,Football,Sports,2,1318,2636,Completed,Agent_10
ORD000094,10/29/2025,CUST1219,West,Bookshelf,Furniture,7,8910,62370,Completed,Agent_5
ORD000095,2/11/2025,CUST1080,East,Laptop,Electronics,4,56380,225520,Completed,Agent_4
ORD000096,8/29/2025,CUST1149,North,Smartphone,Electronics,1,24542,24542,Completed,Agent_1
ORD000097,5/16/2025,CUST1320,North,Jacket,Clothing,8,3199,25592,Completed,Agent_10
ORD000098,5/17/2025,CUST1072,East,Desk,Furniture,2,12106,24212,Completed,Agent_2
ORD000099,8/28/2025,CUST1155,North,Jacket,Clothing,10,3794,37940,Completed,Agent_12
ORD000100,1/21/2025,CUST1221,South,Jacket,Clothing,9,3495,31455,Completed,Agent_12
ORD000101,10/22/2025,CUST1300,North,T-Shirt,Clothing,2,756,1512,Completed,Agent_1
ORD000102,9/23/2025,CUST1333,West,Jacket,Clothing,1,3684,3684,Completed,Agent_8
ORD000103,2/16/2025,CUST1240,West,Bookshelf,Furniture,7,9242,64694,Completed,Agent_6
ORD000104,12/22/2025,CUST1253,South,Jacket,Clothing,2,3750,7500,Completed,Agent_5
ORD000105,6/15/2025,CUST1059,East,Tea Pack,Grocery,1,495,495,Completed,Agent_13
ORD000106,9/23/2025,CUST1185,South,Cricket Bat,Sports,9,2480,22320,Completed,Agent_10
ORD000107,5/28/2025,CUST1224,West,Rice Bag,Grocery,4,1144,4576,Completed,Agent_15
ORD000108,6/9/2025,CUST1282,East,Laptop,Electronics,10,58292,582920,Completed,Agent_1
ORD000109,3/20/2025,CUST1255,East,Smartphone,Electronics,2,24807,49614,Completed,Agent_15
ORD000110,8/30/2025,CUST1124,East,Yoga Mat,Sports,5,1474,7370,Completed,Agent_8
ORD000111,2/5/2025,CUST1141,East,Rice Bag,Grocery,10,1201,12010,Returned,Agent_13
ORD000112,6/2/2025,CUST1300,West,Cooking Oil,Grocery,9,1716,15444,Completed,Agent_10
ORD000113,10/10/2025,CUST1278,West,Rice Bag,Grocery,8,1209,9672,Completed,Agent_7
ORD000114,7/30/2025,CUST1022,South,T-Shirt,Clothing,4,811,3244,Completed,Agent_6
ORD000115,9/15/2025,CUST1302,East,Cooking Oil,Grocery,3,1798,5394,Completed,Agent_6
ORD000116,3/15/2025,CUST1209,West,Rice Bag,Grocery,9,1298,11682,Completed,Agent_14
ORD000117,11/16/2025,CUST1203,East,Office Chair,Furniture,8,7394,59152,Completed,Agent_11
ORD000118,9/7/2025,CUST1277,North,Jacket,Clothing,9,3416,30744,Completed,Agent_1
ORD000119,8/11/2025,CUST1050,East,Bookshelf,Furniture,5,9895,49475,Completed,Agent_13
ORD000120,1/24/2025,CUST1166,East,Smartwatch,Electronics,3,8310,24930,Returned,Agent_13
ORD000121,10/17/2025,CUST1349,North,Jeans,Clothing,7,1672,11704,Completed,Agent_13
ORD000122,5/4/2025,CUST1254,North,Office Chair,Furniture,10,7519,75190,Completed,Agent_15
ORD000123,8/27/2025,CUST1147,East,Desk,Furniture,5,11902,59510,Completed,Agent_11
ORD000124,8/6/2025,CUST1128,South,Smartwatch,Electronics,6,8780,52680,Completed,Agent_8
ORD000125,7/3/2025,CUST1294,West,Desk,Furniture,8,11055,88440,Completed,Agent_5
ORD000126,12/18/2025,CUST1025,West,T-Shirt,Clothing,7,763,5341,Completed,Agent_15
ORD000127,11/22/2025,CUST1097,East,Cooking Oil,Grocery,4,1838,7352,Completed,Agent_10
ORD000128,6/8/2025,CUST1225,North,Bookshelf,Furniture,2,9726,19452,Completed,Agent_1
ORD000129,4/13/2025,CUST1067,East,Office Chair,Furniture,5,6757,33785,Completed,Agent_13
ORD000130,5/12/2025,CUST1246,South,Jacket,Clothing,9,3789,34101,Cancelled,Agent_13
ORD000131,4/26/2025,CUST1346,North,T-Shirt,Clothing,8,874,6992,Completed,Agent_12
ORD000132,5/16/2025,CUST1274,East,Tea Pack,Grocery,6,459,2754,Completed,Agent_2
ORD000133,2/25/2025,CUST1345,South,Jacket,Clothing,7,3725,26075,Returned,Agent_4
ORD000134,2/2/2025,CUST1325,South,Yoga Mat,Sports,6,1624,9744,Completed,Agent_14
ORD000135,1/20/2025,CUST1155,South,Jacket,Clothing,7,3231,22617,Completed,Agent_8
ORD000136,12/23/2025,CUST1276,North,Bookshelf,Furniture,3,8799,26397,Completed,Agent_7
ORD000137,5/24/2025,CUST1016,East,Desk,Furniture,2,12800,25600,Completed,Agent_12
ORD000138,12/18/2025,CUST1188,South,Cooking Oil,Grocery,4,1927,7708,Completed,Agent_9
ORD000139,8/21/2025,CUST1046,West,T-Shirt,Clothing,7,764,5348,Returned,Agent_11
ORD000140,3/6/2025,CUST1289,North,Cricket Bat,Sports,1,2643,2643,Completed,Agent_4
ORD000141,6/18/2025,CUST1075,North,Cricket Bat,Sports,10,2357,23570,Completed,Agent_13
ORD000142,3/31/2025,CUST1056,West,Headphones,Electronics,3,3292,9876,Completed,Agent_11
ORD000143,6/15/2025,CUST1008,West,Office Chair,Furniture,6,7405,44430,Completed,Agent_3
ORD000144,9/1/2025,CUST1229,North,Bookshelf,Furniture,7,9046,63322,Completed,Agent_13
ORD000145,1/23/2025,CUST1337,South,Cricket Bat,Sports,8,2501,20008,Returned,Agent_9
ORD000146,2/25/2025,CUST1251,North,Laptop,Electronics,8,58820,470560,Completed,Agent_12
ORD000147,5/21/2025,CUST1319,West,Laptop,Electronics,6,56191,337146,Completed,Agent_11
ORD000148,11/6/2025,CUST1220,East,Jeans,Clothing,10,1811,18110,Completed,Agent_2
ORD000149,6/23/2025,CUST1232,West,Smartphone,Electronics,7,24757,173299,Completed,Agent_7
ORD000150,3/20/2025,CUST1242,South,Headphones,Electronics,7,2887,20209,Completed,Agent_2
ORD000151,3/8/2025,CUST1284,North,Laptop,Electronics,7,50562,353934,Completed,Agent_1
ORD000152,12/7/2025,CUST1216,East,Yoga Mat,Sports,6,1551,9306,Completed,Agent_14
ORD000153,9/17/2025,CUST1108,West,Headphones,Electronics,10,2887,28870,Completed,Agent_3
ORD000154,5/23/2025,CUST1293,East,Office Chair,Furniture,6,7483,44898,Completed,Agent_4
ORD000155,11/8/2025,CUST1336,West,Yoga Mat,Sports,10,1552,15520,Completed,Agent_14
ORD000156,6/23/2025,CUST1179,East,Smartphone,Electronics,5,26013,130065,Completed,Agent_1
ORD000157,1/16/2025,CUST1046,North,Bookshelf,Furniture,7,8225,57575,Completed,Agent_12
ORD000158,6/16/2025,CUST1290,South,Cooking Oil,Grocery,8,1742,13936,Completed,Agent_10
ORD000159,2/11/2025,CUST1139,North,Smartphone,Electronics,3,26272,78816,Completed,Agent_8
ORD000160,9/20/2025,CUST1058,East,Tea Pack,Grocery,8,491,3928,Completed,Agent_6
ORD000161,1/24/2025,CUST1112,South,Jacket,Clothing,10,3490,34900,Completed,Agent_7
ORD000162,3/12/2025,CUST1130,West,Laptop,Electronics,4,52815,211260,Completed,Agent_5
ORD000163,12/27/2025,CUST1117,North,Smartwatch,Electronics,7,7481,52367,Completed,Agent_9
ORD000164,1/10/2025,CUST1235,East,T-Shirt,Clothing,7,857,5999,Completed,Agent_15
ORD000165,8/2/2025,CUST1148,North,Jacket,Clothing,7,3551,24857,Completed,Agent_2
ORD000166,7/5/2025,CUST1045,South,T-Shirt,Clothing,10,793,7930,Completed,Agent_7
ORD000167,6/8/2025,CUST1173,West,Desk,Furniture,10,11761,117610,Completed,Agent_4
ORD000168,4/10/2025,CUST1178,North,Office Chair,Furniture,9,7186,64674,Completed,Agent_6
ORD000169,11/5/2025,CUST1078,East,Office Chair,Furniture,2,6505,13010,Completed,Agent_13
ORD000170,10/24/2025,CUST1229,West,Smartphone,Electronics,8,24819,198552,Completed,Agent_11
ORD000171,6/11/2025,CUST1077,West,Yoga Mat,Sports,10,1446,14460,Returned,Agent_8
ORD000172,6/30/2025,CUST1259,North,Tea Pack,Grocery,5,529,2645,Completed,Agent_2
ORD000173,11/27/2025,CUST1046,North,Rice Bag,Grocery,1,1168,1168,Completed,Agent_10
ORD000174,1/22/2025,CUST1230,East,Cooking Oil,Grocery,10,1819,18190,Cancelled,Agent_15
ORD000175,2/1/2025,CUST1230,West,Desk,Furniture,10,11941,119410,Completed,Agent_2
ORD000176,5/7/2025,CUST1224,West,Jacket,Clothing,2,3503,7006,Completed,Agent_8
ORD000177,7/29/2025,CUST1173,South,Cricket Bat,Sports,6,2436,14616,Completed,Agent_11
ORD000178,5/26/2025,CUST1129,East,T-Shirt,Clothing,6,735,4410,Completed,Agent_12
ORD000179,6/29/2025,CUST1158,West,Cricket Bat,Sports,6,2290,13740,Completed,Agent_11
ORD000180,10/14/2025,CUST1192,East,Rice Bag,Grocery,10,1250,12500,Completed,Agent_11
ORD000181,9/18/2025,CUST1185,West,Bookshelf,Furniture,9,8268,74412,Completed,Agent_1
ORD000182,4/26/2025,CUST1070,South,Office Chair,Furniture,6,7626,45756,Completed,Agent_3
ORD000183,11/2/2025,CUST1192,North,Laptop,Electronics,6,59140,354840,Completed,Agent_3
ORD000184,5/2/2025,CUST1227,North,Cricket Bat,Sports,8,2271,18168,Completed,Agent_10
ORD000185,8/29/2025,CUST1099,North,Rice Bag,Grocery,9,1137,10233,Returned,Agent_6
ORD000186,9/15/2025,CUST1270,East,Football,Sports,8,1264,10112,Completed,Agent_7
ORD000187,9/4/2025,CUST1190,West,Bookshelf,Furniture,3,9671,29013,Completed,Agent_9
ORD000188,8/19/2025,CUST1262,West,Cricket Bat,Sports,5,2291,11455,Completed,Agent_3
ORD000189,8/1/2025,CUST1027,West,Smartphone,Electronics,8,26923,215384,Cancelled,Agent_7
ORD000190,2/20/2025,CUST1332,South,Desk,Furniture,2,11699,23398,Completed,Agent_6
ORD000191,3/13/2025,CUST1240,West,Office Chair,Furniture,5,7584,37920,Completed,Agent_8
ORD000192,11/8/2025,CUST1270,East,Laptop,Electronics,5,51872,259360,Completed,Agent_7
ORD000193,11/24/2025,CUST1318,North,T-Shirt,Clothing,5,739,3695,Completed,Agent_8
ORD000194,5/4/2025,CUST1073,North,Tea Pack,Grocery,9,451,4059,Completed,Agent_5
ORD000195,12/9/2025,CUST1043,South,Football,Sports,4,1216,4864,Completed,Agent_9
ORD000196,7/18/2025,CUST1191,West,Laptop,Electronics,7,59106,413742,Completed,Agent_5
ORD000197,2/23/2025,CUST1297,East,T-Shirt,Clothing,6,758,4548,Completed,Agent_12
ORD000198,3/31/2025,CUST1237,West,Office Chair,Furniture,6,7064,42384,Completed,Agent_12
ORD000199,1/19/2025,CUST1150,South,Office Chair,Furniture,2,7302,14604,Returned,Agent_4
ORD000200,10/6/2025,CUST1242,North,Office Chair,Furniture,6,7606,45636,Completed,Agent_5
ORD000201,12/2/2025,CUST1169,North,Desk,Furniture,6,12869,77214,Completed,Agent_5
ORD000202,7/17/2025,CUST1173,North,Jeans,Clothing,7,1887,13209,Completed,Agent_3
ORD000203,8/6/2025,CUST1040,South,Cooking Oil,Grocery,9,1716,15444,Completed,Agent_7
ORD000204,12/5/2025,CUST1151,East,Bookshelf,Furniture,5,8678,43390,Completed,Agent_5
ORD000205,6/30/2025,CUST1314,South,Rice Bag,Grocery,8,1164,9312,Completed,Agent_7
ORD000206,12/14/2025,CUST1081,North,Laptop,Electronics,7,53496,374472,Completed,Agent_1
ORD000207,11/27/2025,CUST1187,North,Yoga Mat,Sports,8,1360,10880,Completed,Agent_6
ORD000208,7/9/2025,CUST1190,South,Cricket Bat,Sports,10,2326,23260,Completed,Agent_8
ORD000209,5/23/2025,CUST1127,West,Cricket Bat,Sports,9,2433,21897,Completed,Agent_2
ORD000210,5/15/2025,CUST1133,North,Desk,Furniture,9,11728,105552,Completed,Agent_12
ORD000211,2/7/2025,CUST1231,South,Football,Sports,8,1128,9024,Completed,Agent_3
ORD000212,10/9/2025,CUST1277,West,Rice Bag,Grocery,6,1240,7440,Completed,Agent_5
ORD000213,3/4/2025,CUST1102,West,Bookshelf,Furniture,3,9528,28584,Completed,Agent_13
ORD000214,10/10/2025,CUST1066,North,Rice Bag,Grocery,6,1212,7272,Completed,Agent_10
ORD000215,9/27/2025,CUST1210,West,Headphones,Electronics,7,3299,23093,Completed,Agent_13
ORD000216,8/19/2025,CUST1238,South,Cricket Bat,Sports,3,2736,8208,Completed,Agent_11
ORD000217,8/10/2025,CUST1257,South,Bookshelf,Furniture,10,8427,84270,Returned,Agent_15
ORD000218,12/30/2025,CUST1115,West,Smartphone,Electronics,5,23323,116615,Completed,Agent_6
ORD000219,10/10/2025,CUST1140,West,Football,Sports,2,1140,2280,Completed,Agent_3
ORD000220,10/25/2025,CUST1078,East,Yoga Mat,Sports,2,1500,3000,Completed,Agent_3
ORD000221,2/11/2025,CUST1023,East,Football,Sports,10,1089,10890,Returned,Agent_11
ORD000222,11/24/2025,CUST1015,West,Jacket,Clothing,4,3686,14744,Completed,Agent_8
ORD000223,12/17/2025,CUST1207,West,Football,Sports,5,1195,5975,Completed,Agent_5
ORD000224,6/24/2025,CUST1310,South,Smartphone,Electronics,8,24578,196624,Completed,Agent_3
ORD000225,7/9/2025,CUST1263,North,Jacket,Clothing,6,3832,22992,Completed,Agent_9
ORD000226,2/19/2025,CUST1025,North,Desk,Furniture,2,11441,22882,Completed,Agent_5
ORD000227,6/17/2025,CUST1295,West,Football,Sports,4,1311,5244,Cancelled,Agent_12
ORD000228,9/12/2025,CUST1011,North,Desk,Furniture,9,11920,107280,Completed,Agent_2
ORD000229,1/26/2025,CUST1144,West,Football,Sports,4,1131,4524,Completed,Agent_8
ORD000230,3/10/2025,CUST1135,East,Cooking Oil,Grocery,9,1622,14598,Completed,Agent_12
ORD000231,4/10/2025,CUST1185,South,Cooking Oil,Grocery,1,1764,1764,Completed,Agent_9
ORD000232,11/16/2025,CUST1348,North,Tea Pack,Grocery,8,526,4208,Completed,Agent_10
ORD000233,7/7/2025,CUST1073,North,Smartwatch,Electronics,6,8471,50826,Completed,Agent_4
ORD000234,6/20/2025,CUST1242,East,Tea Pack,Grocery,1,454,454,Completed,Agent_9
ORD000235,3/25/2025,CUST1201,South,Yoga Mat,Sports,3,1448,4344,Completed,Agent_10
ORD000236,9/8/2025,CUST1288,East,Jacket,Clothing,6,3505,21030,Completed,Agent_5
ORD000237,10/26/2025,CUST1157,South,Headphones,Electronics,6,3104,18624,Returned,Agent_13
ORD000238,10/24/2025,CUST1295,West,Smartwatch,Electronics,5,8747,43735,Completed,Agent_4
ORD000239,7/14/2025,CUST1075,East,Football,Sports,3,1205,3615,Completed,Agent_14
ORD000240,3/19/2025,CUST1211,East,Laptop,Electronics,4,49708,198832,Completed,Agent_12
ORD000241,2/1/2025,CUST1070,North,Yoga Mat,Sports,8,1611,12888,Completed,Agent_9
ORD000242,3/30/2025,CUST1235,North,Jacket,Clothing,8,3517,28136,Completed,Agent_15
ORD000243,5/7/2025,CUST1142,South,Football,Sports,5,1226,6130,Completed,Agent_9
ORD000244,9/3/2025,CUST1178,North,Jeans,Clothing,4,1868,7472,Completed,Agent_9
ORD000245,7/22/2025,CUST1176,West,Jeans,Clothing,2,1826,3652,Completed,Agent_13
ORD000246,8/15/2025,CUST1335,West,T-Shirt,Clothing,5,872,4360,Completed,Agent_5
ORD000247,5/20/2025,CUST1070,East,Office Chair,Furniture,9,6679,60111,Completed,Agent_2
ORD000248,4/26/2025,CUST1326,East,Cricket Bat,Sports,4,2275,9100,Returned,Agent_4
ORD000249,1/3/2025,CUST1281,North,Cooking Oil,Grocery,8,1656,13248,Completed,Agent_15
ORD000250,5/27/2025,CUST1330,North,Cooking Oil,Grocery,4,1892,7568,Completed,Agent_1
ORD000251,1/20/2025,CUST1089,West,Smartphone,Electronics,9,26193,235737,Completed,Agent_7
ORD000252,5/29/2025,CUST1019,West,Office Chair,Furniture,7,7403,51821,Completed,Agent_1
ORD000253,10/6/2025,CUST1268,North,Cricket Bat,Sports,6,2392,14352,Returned,Agent_8
ORD000254,6/19/2025,CUST1083,West,Bookshelf,Furniture,8,8591,68728,Completed,Agent_12
ORD000255,6/1/2025,CUST1290,South,Jacket,Clothing,3,3159,9477,Completed,Agent_11
ORD000256,2/14/2025,CUST1205,West,Bookshelf,Furniture,7,9588,67116,Completed,Agent_11
ORD000257,7/16/2025,CUST1120,North,Desk,Furniture,6,13045,78270,Completed,Agent_8
ORD000258,12/1/2025,CUST1184,West,Jeans,Clothing,10,1880,18800,Completed,Agent_12
ORD000259,12/27/2025,CUST1159,North,Smartwatch,Electronics,5,7455,37275,Completed,Agent_12
ORD000260,9/2/2025,CUST1078,North,Jeans,Clothing,10,1699,16990,Returned,Agent_8
ORD000261,10/3/2025,CUST1340,East,Football,Sports,7,1248,8736,Returned,Agent_14
ORD000262,8/17/2025,CUST1270,North,Bookshelf,Furniture,10,9671,96710,Completed,Agent_12
ORD000263,4/14/2025,CUST1293,South,Cricket Bat,Sports,1,2664,2664,Cancelled,Agent_9
ORD000264,10/26/2025,CUST1250,North,Jacket,Clothing,8,3231,25848,Completed,Agent_2
ORD000265,10/16/2025,CUST1029,West,Rice Bag,Grocery,8,1111,8888,Completed,Agent_9
ORD000266,4/22/2025,CUST1296,South,Jacket,Clothing,1,3427,3427,Cancelled,Agent_2
ORD000267,2/5/2025,CUST1241,North,Jacket,Clothing,2,3528,7056,Completed,Agent_1
ORD000268,8/18/2025,CUST1193,North,Office Chair,Furniture,7,6824,47768,Completed,Agent_7
ORD000269,7/21/2025,CUST1270,North,Cricket Bat,Sports,6,2309,13854,Returned,Agent_3
ORD000270,10/6/2025,CUST1217,East,Office Chair,Furniture,1,7669,7669,Completed,Agent_9
ORD000271,2/27/2025,CUST1016,South,Office Chair,Furniture,8,6784,54272,Completed,Agent_13
ORD000272,1/18/2025,CUST1228,East,Cricket Bat,Sports,4,2353,9412,Completed,Agent_10
ORD000273,4/22/2025,CUST1028,East,Smartphone,Electronics,1,24511,24511,Completed,Agent_3
ORD000274,12/11/2025,CUST1164,South,T-Shirt,Clothing,10,771,7710,Completed,Agent_4
ORD000275,2/1/2025,CUST1285,North,Bookshelf,Furniture,9,8497,76473,Completed,Agent_10
ORD000276,6/26/2025,CUST1329,West,Bookshelf,Furniture,7,9100,63700,Completed,Agent_11
ORD000277,4/5/2025,CUST1275,South,Football,Sports,7,1177,8239,Completed,Agent_8
ORD000278,10/15/2025,CUST1211,North,Desk,Furniture,3,12733,38199,Cancelled,Agent_7
